u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
250708522,364104825,Ζωοδόχου Πηγής,residential,True,25.537,,,,,,,,,,219
250708522,250708556,Ναυαρίνου,residential,True,51.484,,,,,,,,,,220
250708556,250699973,Ναυαρίνου,tertiary,True,61.94,1,,,,,,,,,221
250708641,250708556,Χαριλάου Τρικούπη,tertiary,True,91.99,2,,,,30.0,,,,,222
250708641,250706958,Σόλωνος,secondary,True,48.6,2,,,,,,,,,223
250709162,250699359,Ρήγα Φεραίου,tertiary,True,16.99,2,,,,,,,,,224
250709162,250699612,Πλατεία Κωστή Παλαμά,residential,False,62.885,1,,,,,,,,,225
250709162,11271557478,Πλατεία Κωστή Παλαμά,residential,False,166.641,1,,,,,,,,,226
250709582,250691668,Σταδίου,primary,True,88.5,3,,ΕΟ1,,,,,,,227
250712701,250706959,Θεμιστοκλέους,tertiary,True,56.092,1,,,,30.0,,,,,228
250713331,97788855,Σπύρου Τρικούπη,tertiary,True,93.054,1,,,,,,,,,229
250713331,569850326,Σπύρου Τρικούπη,tertiary,False,5.408,1,,,,,,,,,230
250713539,250700085,Ακαδημίας,secondary,True,56.57599999999999,2,,,,,,,,,231
250714050,95663422,Βερανζέρου,residential,True,121.869,,,,,,,,,,232
250714050,250714051,Πατησίων,primary,True,164.707,3,,ΕΟ1,,,,,,,233
250714051,250700142,Αιόλου,primary,True,115.116,2,,ΕΟ1,,,,,,,234
250714051,262236447,"['Πανεπιστημίου', 'Πλατεία Ομονοίας']",primary,True,124.426,"['4', '5']",,ΕΟ8,,50.0,,,,,235
250714052,3731648988,Χαλκοκονδύλη,secondary,True,79.48499999999999,2,,,,,,,,,236
250714052,250714050,Πατησίων,primary,True,65.84,3,,ΕΟ1,,,,,,,237
250720871,7214467394,Σωκράτους,tertiary,True,102.045,2,,,,,,,,,238
250720871,250720872,Αγίου Κωνσταντίνου,primary,True,113.729,3,,ΕΟ8,,50.0,,,,,239
250720872,250663746,Μενάνδρου,tertiary,True,99.205,2,,,,,,,,,240
250720872,250720873,Αγίου Κωνσταντίνου,primary,True,63.791,2,,ΕΟ8,,50.0,,,,,241
250720873,95663389,Κουμουνδούρου,residential,True,96.274,1,,,,,,,,,242
250921080,95663389,Σατωβριάνδου,residential,True,67.372,,,,,,,,,,243
250921080,635138660,Νικηφόρου,residential,True,40.06,1,,,,,,,,,244
262236447,250720871,"['Αγίου Κωνσταντίνου', 'Πλατεία Ομονοίας']",primary,True,128.648,3,,ΕΟ8,,50.0,,,,,245
262236447,95663423,3ης Σεπτεμβρίου,primary,True,72.624,3,,,,,,,,,246
300398465,962356671,Χαλκοκονδύλη,secondary,True,29.792,1,,,,,,,,,247
300398465,95663420,Χαλκοκονδύλη,primary,True,106.178,2,,,,,,,,,248
300398465,95663385,Σωκράτους,tertiary,True,63.886,2,,,,,,,,,249
300400248,8446047162,Σόλωνος,secondary,True,106.826,2,,,,,,,,,250
300400470,250691755,Ακαδημίας,secondary,True,80.53699999999999,4,,,,,,,,,251
300400470,653971685,Ομήρου,residential,True,57.838,,,,,,,,,,252
300401174,250691753,Σόλωνος,secondary,True,68.37599999999999,2,,,,,,,,,253
300401270,250692062,Σούτσου Αλ.,residential,True,70.856,,,,,,,,,,254
300401270,250691739,Βουκουρεστίου,residential,True,53.204,,,,,,,,,,255
300401271,300401270,Σούτσου Αλ.,residential,True,47.408,,,,,,,,,,256
300401271,300401174,Δημοκρίτου,residential,True,57.181,1,,,,,,,,,257
300401360,250691753,Λυκαβηττού,tertiary,True,55.164,2,,,,,,,,,258
300401360,300401271,Σούτσου Αλ.,residential,True,69.36099999999999,,,,,,,,,,259
358464012,569850326,Σπύρου Τρικούπη,tertiary,True,101.086,1,,,,,,,,,260
358464018,358464012,Αλεξάνδρας,primary,True,38.737,3,,,,50.0,,,,,261
358464027,358464018,Αλεξάνδρας,primary,True,43.848,3,,,,50.0,,,,,262
358464027,358464159,Ζαΐμη,residential,True,47.45,,,,,,,,,,263
358464040,625958232,Μπουμπουλίνας,tertiary,True,9.712,,,,,,,,,,264
358464040,358464027,Αλεξάνδρας,primary,True,54.161,3,,,,50.0,,,,,265
358464049,358464174,Ρεθύμνου,residential,True,46.84,,,,,,,,,,266
358464049,358464040,Αλεξάνδρας,primary,True,92.53,3,,,,50.0,,,,,267
358464159,97797081,Ζαΐμη,residential,True,52.93,,,,,,,,,,268
358464166,358464040,Μπουμπουλίνας,tertiary,True,48.254,,,,,,,,,,269
358464166,358464159,Ιουλιανού,residential,True,54.429,,,,,,,,,,270
358464174,97797093,Ρεθύμνου,residential,True,53.348,,,,,,,,,,271
358464174,358464166,Ιουλιανού,residential,True,92.666,,,,,,,,,,272
358464177,2878357812,Μαυροματαίων,secondary,True,36.761,1,,,,,,,,,273
358464177,516020362,Αλεξάνδρας,primary,True,47.907,4,,,,50.0,,,,,274
358464212,358464177,Μαυροματαίων,secondary,True,11.937,1,,,,,,,,,275
358464212,358464049,Αλεξάνδρας,primary,True,65.831,3,,,,50.0,,,,,276
358464213,358464174,Ιουλιανού,residential,True,65.908,,,,,,,,,,277
358464213,358464212,Μαυροματαίων,secondary,True,45.848,1,,,,,,,,,278
358465186,358465410,Φερών,residential,True,115.432,,,,,,,,,,279
358465186,6910572379,Πατησίων,primary,True,28.927,5,,ΕΟ1,,,,,,,280
