episode,step,state,action,next_state,reward,trajectory
17,26.0,167.0,1.0,166.0,0.8676984310150146,
17,27.0,166.0,0.0,392.0,0.7024135589599609,
17,,,,,,"[{'state': 55, 'action': 1}, {'state': 132, 'action': 0}, {'state': 134, 'action': 1}, {'state': 52, 'action': 1}, {'state': 360, 'action': 1}, {'state': 0, 'action': 1}, {'state': 366, 'action': 1}, {'state': 351, 'action': 2}, {'state': 248, 'action': 1}, {'state': 30, 'action': 1}, {'state': 236, 'action': 1}, {'state': 376, 'action': 0}, {'state': 231, 'action': 1}, {'state': 198, 'action': 1}, {'state': 196, 'action': 1}, {'state': 195, 'action': 1}, {'state': 180, 'action': 1}, {'state': 315, 'action': 1}, {'state': 185, 'action': 1}, {'state': 179, 'action': 2}, {'state': 418, 'action': 1}, {'state': 251, 'action': 1}, {'state': 164, 'action': 1}, {'state': 174, 'action': 0}, {'state': 159, 'action': 0}, {'state': 167, 'action': 1}, {'state': 166, 'action': 0}]"
18,1.0,390.0,0.0,344.0,0.3187040388584137,
18,2.0,344.0,0.0,168.0,0.5236119627952576,
18,3.0,168.0,1.0,374.0,0.7218127846717834,
18,4.0,374.0,1.0,156.0,0.6736650466918945,
18,5.0,156.0,0.0,157.0,0.699416995048523,
18,6.0,157.0,0.0,176.0,0.7298325896263123,
18,7.0,176.0,0.0,177.0,0.7248929738998413,
18,8.0,177.0,0.0,189.0,0.6965175867080688,
18,9.0,189.0,1.0,190.0,0.6053141355514526,
